pair_id,source,frame_a,cluster_a,frame_b,cluster_b,prior_label
226,adjacent,229,7,230,9,likely_same
227,same_frame_far,2002,8,2002,5,likely_diff
228,same_frame_far,682,22,682,7,likely_diff
229,adjacent,1208,4,1209,5,likely_same
230,adjacent,1491,13,1492,11,likely_same
231,adjacent,2717,3,2718,12,likely_same
232,adjacent,1217,12,1218,7,likely_same
233,adjacent,1576,6,1577,16,likely_same
234,same_frame_far,270,14,270,0,likely_diff
235,same_frame_far,1324,1,1324,14,likely_diff
236,same_frame_far,1888,0,1888,5,likely_diff
237,same_frame_far,66,22,66,8,likely_diff
238,adjacent,2803,9,2804,7,likely_same
239,same_frame_far,1145,8,1145,0,likely_diff
240,same_frame_far,402,15,402,11,likely_diff
241,same_frame_far,1386,4,1386,11,likely_diff
242,adjacent,369,9,370,14,likely_same
243,adjacent,2745,7,2746,2,likely_same
244,same_frame_far,437,8,437,1,likely_diff
245,same_frame_far,542,31,542,23,likely_diff
246,same_frame_far,1862,17,1862,5,likely_diff
247,adjacent,470,8,471,7,likely_same
248,same_frame_far,2503,0,2503,16,likely_diff
249,adjacent,2425,7,2426,5,likely_same
250,same_frame_far,1795,7,1795,1,likely_diff
251,adjacent,1320,7,1321,7,likely_same
252,same_frame_far,819,3,819,11,likely_diff
253,same_frame_far,2484,11,2484,2,likely_diff
254,adjacent,1109,4,1110,8,likely_same
255,adjacent,491,18,492,19,likely_same
256,adjacent,868,11,869,11,likely_same
257,adjacent,1324,3,1325,4,likely_same
258,same_frame_far,1828,11,1828,17,likely_diff
259,adjacent,555,14,556,18,likely_same
260,same_frame_far,923,7,923,0,likely_diff
261,adjacent,1352,10,1353,6,likely_same
262,adjacent,1948,8,1949,6,likely_same
263,adjacent,529,12,530,8,likely_same
264,same_frame_far,370,8,370,18,likely_diff
265,same_frame_far,373,20,373,4,likely_diff
266,adjacent,2129,6,2130,11,likely_same
267,same_frame_far,2427,4,2427,9,likely_diff
268,adjacent,2708,6,2709,8,likely_same
269,adjacent,651,29,652,22,likely_same
270,adjacent,522,1,523,1,likely_same
271,same_frame_far,2107,8,2107,0,likely_diff
272,same_frame_far,918,4,918,1,likely_diff
273,adjacent,772,7,773,21,likely_same
274,same_frame_far,2351,11,2351,6,likely_diff
275,same_frame_far,362,17,362,1,likely_diff
276,adjacent,356,9,357,13,likely_same
277,same_frame_far,1064,3,1064,8,likely_diff
278,adjacent,1760,3,1761,1,likely_same
279,adjacent,2481,4,2482,1,likely_same
280,adjacent,626,11,627,11,likely_same
281,same_frame_far,1498,8,1498,3,likely_diff
282,same_frame_far,1064,8,1064,3,likely_diff
283,adjacent,1468,11,1469,8,likely_same
284,same_frame_far,328,3,328,7,likely_diff
285,adjacent,2546,9,2547,16,likely_same
286,adjacent,1701,1,1702,2,likely_same
287,adjacent,1384,0,1385,0,likely_same
288,same_frame_far,817,16,817,18,likely_diff
289,adjacent,1919,11,1920,11,likely_same
290,same_frame_far,2188,1,2188,7,likely_diff
291,adjacent,2266,2,2267,1,likely_same
292,same_frame_far,898,6,898,24,likely_diff
293,adjacent,951,2,952,0,likely_same
294,same_frame_far,253,19,253,11,likely_diff
295,adjacent,314,10,315,14,likely_same
296,same_frame_far,335,17,335,0,likely_diff
297,adjacent,8,12,9,5,likely_same
298,same_frame_far,1100,3,1100,7,likely_diff
299,same_frame_far,2660,13,2660,1,likely_diff
300,same_frame_far,1008,0,1008,8,likely_diff
301,same_frame_far,2290,10,2290,5,likely_diff
302,adjacent,2530,0,2531,0,likely_same
303,same_frame_far,956,4,956,6,likely_diff
304,same_frame_far,2336,11,2336,3,likely_diff
305,same_frame_far,150,17,150,13,likely_diff
306,same_frame_far,2788,2,2788,9,likely_diff
307,same_frame_far,1346,8,1346,19,likely_diff
308,same_frame_far,1458,5,1458,2,likely_diff
309,same_frame_far,2345,2,2345,12,likely_diff
310,adjacent,260,15,261,25,likely_same
311,adjacent,2533,11,2534,11,likely_same
312,adjacent,1366,6,1367,7,likely_same
313,adjacent,2711,6,2712,10,likely_same
314,same_frame_far,1209,6,1209,5,likely_diff
315,same_frame_far,2662,21,2662,4,likely_diff
316,same_frame_far,2711,13,2711,8,likely_diff
317,same_frame_far,995,5,995,10,likely_diff
318,same_frame_far,1297,10,1297,1,likely_diff
319,adjacent,375,6,376,5,likely_same
320,same_frame_far,635,5,635,12,likely_diff
321,adjacent,2652,3,2653,0,likely_same
322,same_frame_far,2120,1,2120,10,likely_diff
323,adjacent,2453,2,2454,8,likely_same
324,adjacent,2394,6,2395,11,likely_same
325,same_frame_far,1219,1,1219,5,likely_diff
326,same_frame_far,2710,5,2710,0,likely_diff
327,adjacent,178,10,179,21,likely_same
328,adjacent,443,21,444,19,likely_same
329,same_frame_far,2392,4,2392,0,likely_diff
330,adjacent,506,14,507,12,likely_same
331,adjacent,1760,10,1761,9,likely_same
332,same_frame_far,1567,9,1567,1,likely_diff
333,adjacent,956,4,957,4,likely_same
334,adjacent,1574,7,1575,16,likely_same
335,same_frame_far,1237,7,1237,3,likely_diff
336,same_frame_far,2345,10,2345,4,likely_diff
337,adjacent,306,15,307,18,likely_same
338,same_frame_far,1823,10,1823,2,likely_diff
339,adjacent,961,4,962,6,likely_same
340,same_frame_far,1428,6,1428,15,likely_diff
341,same_frame_far,2079,7,2079,3,likely_diff
342,same_frame_far,2707,14,2707,11,likely_diff
343,same_frame_far,1099,8,1099,12,likely_diff
344,adjacent,1088,2,1089,6,likely_same
345,adjacent,1526,6,1527,13,likely_same
346,adjacent,1114,7,1115,9,likely_same
347,adjacent,2744,3,2745,3,likely_same
348,same_frame_far,67,14,67,9,likely_diff
349,adjacent,744,2,745,9,likely_same
350,adjacent,308,11,309,15,likely_same
351,adjacent,1175,4,1176,7,likely_same
352,adjacent,223,17,224,17,likely_same
353,same_frame_far,1721,1,1721,5,likely_diff
354,same_frame_far,894,5,894,28,likely_diff
355,adjacent,105,4,106,3,likely_same
356,same_frame_far,436,10,436,17,likely_diff
357,adjacent,1000,8,1001,7,likely_same
358,same_frame_far,1994,6,1994,2,likely_diff
359,adjacent,1885,11,1886,3,likely_same
360,same_frame_far,493,6,493,11,likely_diff
361,adjacent,2705,2,2706,14,likely_same
362,same_frame_far,2398,3,2398,5,likely_diff
363,same_frame_far,109,10,109,4,likely_diff
364,same_frame_far,1301,18,1301,8,likely_diff
365,same_frame_far,1613,5,1613,14,likely_diff
366,same_frame_far,665,9,665,13,likely_diff
367,same_frame_far,414,14,414,17,likely_diff
368,same_frame_far,352,1,352,12,likely_diff
369,adjacent,158,15,159,8,likely_same
370,same_frame_far,883,9,883,2,likely_diff
371,same_frame_far,2168,0,2168,1,likely_diff
372,adjacent,163,11,164,14,likely_same
373,same_frame_far,2438,5,2438,3,likely_diff
374,adjacent,785,13,786,11,likely_same
375,same_frame_far,2796,3,2796,15,likely_diff
376,adjacent,249,15,250,8,likely_same
377,adjacent,300,17,301,26,likely_same
378,same_frame_far,2464,2,2464,5,likely_diff
379,same_frame_far,90,13,90,0,likely_diff
380,same_frame_far,2616,21,2616,13,likely_diff
381,adjacent,349,1,350,3,likely_same
382,same_frame_far,1849,1,1849,12,likely_diff
383,adjacent,2455,8,2456,14,likely_same
384,same_frame_far,799,3,799,19,likely_diff
385,same_frame_far,387,14,387,3,likely_diff
386,adjacent,963,3,964,5,likely_same
387,adjacent,1259,2,1260,2,likely_same
388,adjacent,2281,6,2282,6,likely_same
389,same_frame_far,734,9,734,17,likely_diff
390,same_frame_far,1706,18,1706,15,likely_diff
391,adjacent,2442,1,2443,3,likely_same
392,same_frame_far,417,0,417,9,likely_diff
393,adjacent,1340,3,1341,8,likely_same
394,same_frame_far,1546,14,1546,25,likely_diff
395,same_frame_far,297,1,297,19,likely_diff
396,adjacent,2253,0,2254,0,likely_same
397,adjacent,679,8,680,4,likely_same
398,same_frame_far,128,3,128,16,likely_diff
399,adjacent,2717,3,2718,12,likely_same
400,adjacent,1365,10,1366,21,likely_same
401,adjacent,617,7,618,4,likely_same
402,adjacent,2276,0,2277,2,likely_same
403,adjacent,2390,3,2391,5,likely_same
404,same_frame_far,766,1,766,13,likely_diff
405,adjacent,2280,0,2281,0,likely_same
406,adjacent,347,1,348,1,likely_same
407,same_frame_far,1672,12,1672,0,likely_diff
408,adjacent,528,19,529,14,likely_same
409,adjacent,725,15,726,16,likely_same
410,adjacent,623,7,624,8,likely_same
411,same_frame_far,2380,4,2380,8,likely_diff
412,adjacent,291,21,292,13,likely_same
413,adjacent,1620,10,1621,3,likely_same
414,adjacent,2603,14,2604,11,likely_same
415,adjacent,1938,2,1939,4,likely_same
416,adjacent,2542,4,2543,4,likely_same
417,adjacent,643,3,644,4,likely_same
418,adjacent,2813,7,2814,18,likely_same
419,adjacent,864,8,865,7,likely_same
420,same_frame_far,1288,6,1288,3,likely_diff
421,same_frame_far,1583,1,1583,6,likely_diff
422,adjacent,292,1,293,1,likely_same
423,adjacent,625,6,626,10,likely_same
424,same_frame_far,264,12,264,8,likely_diff
425,adjacent,211,6,212,7,likely_same
426,same_frame_far,2823,14,2823,30,likely_diff
427,adjacent,105,2,106,0,likely_same
428,adjacent,2459,4,2460,11,likely_same
429,adjacent,350,3,351,4,likely_same
430,same_frame_far,421,2,421,8,likely_diff
431,adjacent,1529,7,1530,6,likely_same
432,same_frame_far,834,3,834,5,likely_diff
433,adjacent,2216,0,2217,0,likely_same
434,adjacent,245,18,246,17,likely_same
435,same_frame_far,2655,32,2655,10,likely_diff
436,same_frame_far,777,5,777,17,likely_diff
437,same_frame_far,1161,5,1161,13,likely_diff
438,same_frame_far,1055,15,1055,8,likely_diff
439,same_frame_far,822,2,822,16,likely_diff
440,same_frame_far,1469,13,1469,7,likely_diff
441,adjacent,2698,8,2699,12,likely_same
442,adjacent,307,5,308,2,likely_same
443,adjacent,1904,7,1905,4,likely_same
444,adjacent,2467,0,2468,1,likely_same
445,adjacent,1509,8,1510,7,likely_same
446,same_frame_far,10,12,10,1,likely_diff
447,same_frame_far,1484,12,1484,2,likely_diff
448,adjacent,2702,15,2703,16,likely_same
449,same_frame_far,1479,15,1479,1,likely_diff
450,same_frame_far,1703,0,1703,7,likely_diff
451,same_frame_far,1263,0,1263,3,likely_diff
452,adjacent,2324,8,2325,9,likely_same
453,same_frame_far,717,11,717,16,likely_diff
454,same_frame_far,1002,7,1002,10,likely_diff
455,same_frame_far,1161,3,1161,1,likely_diff
456,same_frame_far,1511,6,1511,2,likely_diff
457,same_frame_far,2712,0,2712,21,likely_diff
458,same_frame_far,1372,5,1372,10,likely_diff
459,adjacent,937,5,938,13,likely_same
460,adjacent,303,9,304,8,likely_same
461,same_frame_far,525,14,525,11,likely_diff
462,same_frame_far,279,20,279,6,likely_diff
463,same_frame_far,521,4,521,13,likely_diff
464,adjacent,1238,0,1239,0,likely_same
465,same_frame_far,1175,8,1175,1,likely_diff
466,same_frame_far,338,2,338,10,likely_diff
467,adjacent,670,9,671,9,likely_same
468,same_frame_far,2075,3,2075,6,likely_diff
469,same_frame_far,513,1,513,6,likely_diff
470,same_frame_far,841,26,841,5,likely_diff
471,same_frame_far,883,16,883,3,likely_diff
472,adjacent,2621,11,2622,10,likely_same
473,same_frame_far,449,12,449,15,likely_diff
474,adjacent,79,11,80,20,likely_same
475,same_frame_far,227,11,227,4,likely_diff
476,same_frame_far,1517,14,1517,8,likely_diff
477,same_frame_far,2217,7,2217,1,likely_diff
478,adjacent,1330,10,1331,9,likely_same
479,same_frame_far,1478,6,1478,0,likely_diff
480,same_frame_far,2696,8,2696,20,likely_diff
481,adjacent,1741,0,1742,4,likely_same
482,adjacent,1207,3,1208,7,likely_same
483,adjacent,871,4,872,14,likely_same
484,adjacent,1145,4,1146,8,likely_same
485,adjacent,62,23,63,17,likely_same
486,same_frame_far,148,6,148,8,likely_diff
487,same_frame_far,2019,0,2019,2,likely_diff
488,adjacent,881,12,882,9,likely_same
489,adjacent,1392,16,1393,7,likely_same
490,same_frame_far,777,6,777,0,likely_diff
491,same_frame_far,2691,14,2691,8,likely_diff
492,adjacent,608,14,609,15,likely_same
493,same_frame_far,909,15,909,5,likely_diff
494,same_frame_far,1566,13,1566,1,likely_diff
495,adjacent,207,10,208,24,likely_same
496,same_frame_far,2251,4,2251,13,likely_diff
497,adjacent,778,19,779,13,likely_same
498,adjacent,2826,5,2827,14,likely_same
499,adjacent,118,5,119,4,likely_same
